10:22:18:637	生成开始于 10:22...
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(112,32,112,42): error CS1061: “AssignmentExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AssignmentExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(117,32,117,42): error CS1061: “AttributeArgumentListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AttributeArgumentListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:21:975	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(122,32,122,42): error CS1061: “AttributeArgumentSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AttributeArgumentSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(127,32,127,42): error CS1061: “AttributeListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AttributeListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(132,32,132,42): error CS1061: “AttributeSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AttributeSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(142,32,142,42): error CS1061: “AwaitExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“AwaitExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(152,32,152,42): error CS1061: “BaseArgumentListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseArgumentListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(157,32,157,42): error CS1061: “BaseCrefParameterListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseCrefParameterListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(162,32,162,42): error CS1061: “BaseExpressionColonSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseExpressionColonSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(167,32,167,42): error CS1061: “BaseExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(172,32,172,42): error CS1061: “BaseFieldDeclarationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseFieldDeclarationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(177,32,177,42): error CS1061: “BaseListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(182,32,182,42): error CS1061: “BaseMethodDeclarationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseMethodDeclarationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(187,32,187,42): error CS1061: “BaseNamespaceDeclarationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseNamespaceDeclarationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(192,32,192,42): error CS1061: “BaseObjectCreationExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseObjectCreationExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(197,32,197,42): error CS1061: “BaseParameterListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseParameterListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(202,32,202,42): error CS1061: “BaseParameterSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseParameterSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(207,32,207,42): error CS1061: “BasePropertyDeclarationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BasePropertyDeclarationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:040	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(217,32,217,42): error CS1061: “BaseTypeSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BaseTypeSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(222,32,222,42): error CS1061: “BinaryExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BinaryExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(227,32,227,42): error CS1061: “BinaryPatternSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BinaryPatternSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(232,32,232,42): error CS1061: “BlockSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BlockSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(237,32,237,42): error CS1061: “BracketedArgumentListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BracketedArgumentListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(242,32,242,42): error CS1061: “BracketedParameterListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BracketedParameterListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(247,32,247,42): error CS1061: “BranchingDirectiveTriviaSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BranchingDirectiveTriviaSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(252,32,252,42): error CS1061: “BreakStatementSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“BreakStatementSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(257,32,257,42): error CS1061: “CasePatternSwitchLabelSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CasePatternSwitchLabelSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(262,32,262,42): error CS1061: “CaseSwitchLabelSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CaseSwitchLabelSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(267,32,267,42): error CS1061: “CastExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CastExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(272,32,272,42): error CS1061: “CatchClauseSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CatchClauseSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(282,32,282,42): error CS1061: “CatchFilterClauseSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CatchFilterClauseSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(287,32,287,42): error CS1061: “CheckedExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CheckedExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(292,32,292,42): error CS1061: “CheckedStatementSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CheckedStatementSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(302,32,302,42): error CS1061: “ClassOrStructConstraintSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ClassOrStructConstraintSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(307,32,307,42): error CS1061: “CollectionElementSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CollectionElementSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:041	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(312,32,312,42): error CS1061: “CollectionExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CollectionExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(317,32,317,42): error CS1061: “CommonForEachStatementSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CommonForEachStatementSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(322,32,322,42): error CS1061: “CompilationUnitSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CompilationUnitSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(327,32,327,42): error CS1061: “ConditionalAccessExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConditionalAccessExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(332,32,332,42): error CS1061: “ConditionalDirectiveTriviaSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConditionalDirectiveTriviaSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(337,32,337,42): error CS1061: “ConditionalExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConditionalExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(342,32,342,42): error CS1061: “ConstantPatternSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConstantPatternSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(347,32,347,42): error CS1061: “ConstructorConstraintSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConstructorConstraintSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(357,32,357,42): error CS1061: “ConstructorInitializerSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConstructorInitializerSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(362,32,362,42): error CS1061: “ContinueStatementSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ContinueStatementSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(367,32,367,42): error CS1061: “ConversionOperatorDeclarationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConversionOperatorDeclarationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(372,32,372,42): error CS1061: “ConversionOperatorMemberCrefSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ConversionOperatorMemberCrefSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(377,32,377,42): error CS1061: “CrefBracketedParameterListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CrefBracketedParameterListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(382,32,382,42): error CS1061: “CrefParameterListSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CrefParameterListSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(387,32,387,42): error CS1061: “CrefParameterSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CrefParameterSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(392,32,392,42): error CS1061: “CrefSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“CrefSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(397,32,397,42): error CS1061: “DeclarationExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DeclarationExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(402,32,402,42): error CS1061: “DeclarationPatternSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DeclarationPatternSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(407,32,407,42): error CS1061: “DefaultConstraintSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DefaultConstraintSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(412,32,412,42): error CS1061: “DefaultExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DefaultExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(417,32,417,42): error CS1061: “DefaultSwitchLabelSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DefaultSwitchLabelSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:043	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(422,32,422,42): error CS1061: “DefineDirectiveTriviaSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DefineDirectiveTriviaSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(437,32,437,42): error CS1061: “DirectiveTriviaSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DirectiveTriviaSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(442,32,442,42): error CS1061: “DiscardDesignationSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DiscardDesignationSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(447,32,447,42): error CS1061: “DiscardPatternSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DiscardPatternSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(452,32,452,42): error CS1061: “DocumentationCommentTriviaSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DocumentationCommentTriviaSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(457,32,457,42): error CS1061: “DoStatementSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“DoStatementSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(462,32,462,42): error CS1061: “ElementAccessExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ElementAccessExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(467,32,467,42): error CS1061: “ElementBindingExpressionSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ElementBindingExpressionSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(472,32,472,42): error CS1061: “ElifDirectiveTriviaSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ElifDirectiveTriviaSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
10:22:22:044	1>D:\Source\csharp-analyzer\src\Exercism.Analyzers.CSharp\Analyzers\ShowAllAnalyze.cs(477,32,477,42): error CS1061: “ElseClauseSyntax”未包含“Identifier”的定义，并且找不到可接受第一个“ElseClauseSyntax”类型参数的可访问扩展方法“Identifier”(是否缺少 using 指令或程序集引用?)
